13.540466	13.753805	S M
15.104982	15.242366	S D
16.629682	16.729353	S M
18.166950	18.376480	S D
19.695153	22.139357	L M 
22.767286	22.953034	S U
23.166822	25.575094	L M
25.849863	28.279686	L U
28.408989	31.021991	L D
31.113581	34.480851	L M
34.591457	37.806786	L U
38.149653	40.653701	L U
39.717619	39.943900	S U
40.757901	43.625643	L M
43.843482	46.713823	L D
44.367692	44.554358	S D
45.898968	46.039922	S D
47.418292	50.423180	L M
47.473010	47.564441	S M
48.996863	49.111152	S M
50.513614	52.959600	L U
52.027871	52.232601	S U
53.061965	55.367872	L D
54.332644	54.530745	S D
55.079332	55.262194	S D
55.869754	59.285513	L M
58.187991	58.683243	S M
62.282051	65.431054	L D
63.584845	63.897327	S D
65.104157	65.319662	S D
65.892359	68.080904	L M
66.612694	66.828200	S M
68.452511	71.079385	L D
68.983253	69.338837	S D
70.448689	70.782722	S D
71.252375	74.099065	L U
72.745208	73.052745	S U
74.304104	81.160396	L M 
81.274685	81.694345	S M
82.772469	83.187316	S U
84.300293	84.548125	S D
85.840642	89.547334	L U
90.215400	93.544957	L M
105.576215	117.541971	L M
105.868596	106.295275	S M
117.735926	129.389394	L U 
118.166088	118.592766	S U
119.652916	120.110072	S U
121.268200	121.633925	S U
122.776814	123.218732	S U
124.331144	124.757823	S U
125.794043	126.251199	S U
127.394088	127.820767	S U
128.841748	129.237950	S U
130.380718	141.845601	L D
142.190410	154.229581	L U
154.690885	160.534080	L M
161.196934	167.223248	L D
162.016022	162.518894	S D
163.600829	163.997031	S D
165.078966	165.490406	S D
166.602819	167.029498	S D
173.316561	179.432657	L U
173.490633	173.749688	S U
174.313514	174.572569	S U
176.568816	177.010733	S U
178.839356	179.144127	S U
179.672393	185.232430	L D 
179.906053	180.287016	S D
182.017363	182.230702	S D
184.310761	184.569816	S D
185.793124	188.139857	L M
186.641482	186.809106	S M
187.380551	187.571032	S M
188.414151	191.096132	L D 
188.912023	189.110124	S D
189.696807	189.894908	S D
190.443495	190.649215	S D
191.526620	194.250507	L U
192.774989	193.003567	S U
193.536916	193.795971	S U
194.334319	197.368581	L M
195.060769	195.258869	S M
195.822695	196.036034	S M
196.592241	196.858915	S M
197.689309	203.320103	L M
202.759935	203.157170	S M
204.310432	204.643596	S D
209.633731	212.254758	L M
212.483335	215.729142	L U
216.643453	221.668772	L D
222.035131	229.017503	L U
229.827469	234.642843	L M
242.800107	243.572620	S D
