4.512266	4.604944	S
6.147601	6.308242	S
7.821973	7.964078	S
9.502523	9.619915	S
11.133646	11.244859	S
11.597033	13.642114	D
14.439140	14.525639	S
16.298866	16.447150	S
17.355389	17.472780	S
18.148346	18.243864	S
18.992690	19.066832	S
20.712627	20.896315	S
21.917618	21.991093	S
23.122610	23.210780	S
24.386381	24.496594	S
25.591373	25.694238	S
26.656761	26.744932	S
27.678065	27.795625	S
28.515681	28.625894	S
29.549602	29.654455	S
30.589390	30.746669	S
31.000062	33.560211	D 
33.595162	36.906754	M
36.906754	40.508022	U
40.927432	41.084710	S
41.635186	41.783727	S
42.570121	42.762351	S
43.225449	43.373990	S
44.265237	44.396302	S
45.025417	45.156483	S
47.576829	47.777796	S
49.202043	49.394272	S
54.138849	54.304865	S
55.807751	55.947554	S
59.949425	62.518312	U
63.217329	67.798866	M
70.663865	70.943070	S
74.381704	74.749080	S
78.985718	81.557346	D
82.321487	84.863725	M
85.598476	88.184799	D
89.007720	91.961418	U
92.240624	92.431659	S
93.019460	93.298665	S
93.871771	94.004026	S
94.694692	94.929812	S
